"","data","codigo","id","desc1","desc2","valor_brl","saldo","tipo"
"1",2022-07-01,"beneficio flash",NA,"entrada",NA,700,NA,"cartao_flash"
"2",2022-07-06,"pao de acucar",NA,"supermercado",NA,-148.59,NA,"cartao_flash"
"3",2022-07-08,"west market",NA,"supermercado",NA,-10,NA,"cartao_flash"
"4",2022-07-12,"sia pão",NA,"padaria",NA,-22.71,NA,"cartao_flash"
"5",2022-07-12,"west market",NA,"supermercado",NA,-10.99,NA,"cartao_flash"
"6",2022-07-31,"supermercado ubatuba",NA,"viagem",NA,-35.9,NA,"cartao_flash"
"7",2022-08-01,"beneficio flash",NA,"entrada",NA,700,NA,"cartao_flash"
"8",2022-08-03,"west market",NA,"supermercado",NA,-23.9,NA,"cartao_flash"
"9",2022-08-04,"meio dia barriga vazia",NA,"restaurante",NA,-55.37,NA,"cartao_flash"
"10",2022-08-04,"west market",NA,"supermercado",NA,-15.9,NA,"cartao_flash"
"11",2022-08-04,"pao de acucar",NA,"supermercado",NA,-196.23,NA,"cartao_flash"
"12",2022-08-09,"siapao",NA,"padaria",NA,-49.9,NA,"cartao_flash"
"13",2022-08-10,"pao de acucar",NA,"supermercado",NA,-213.81,NA,"cartao_flash"
"14",2022-08-13,"pao de acucar",NA,"supermercado",NA,-130.22,NA,"cartao_flash"
"15",2022-08-14,"Hildebrando Pererira Sao Paulo Bra",NA,"feira",NA,-14,NA,"cartao_flash"
"16",2022-08-14,"Laticinios Ninoejosy Sao Paulo Bra",NA,"feira",NA,-33,NA,"cartao_flash"
"17",2022-08-15,"west market",NA,"supermercado",NA,-21.07,NA,"cartao_flash"
"18",2022-08-16,"west market",NA,"supermercado",NA,-9,NA,"cartao_flash"
"19",2022-08-17,"pao de acucar",NA,"supermercado",NA,-175,NA,"cartao_flash"
"20",2022-08-20,"padaria",NA,"padaria",NA,-25,NA,"cartao_flash"
"21",2022-08-20,"popdonuts",NA,"restaurante",NA,-29,NA,"cartao_flash"
"22",2022-08-20,"siapao",NA,"padaria",NA,-16.65,NA,"cartao_flash"
"23",2022-08-25,"pao de acucar",NA,"supermercado",NA,-90.61,NA,"cartao_flash"
"24",2022-09-01,"beneficio flash",NA,"entrada",NA,700,NA,"cartao_flash"
"25",2022-09-03,"pao de acucar",NA,"supermercado",NA,-158.08,NA,"cartao_flash"
"26",2022-09-10,"siapao",NA,"padaria",NA,-9.8,NA,"cartao_flash"
"27",2022-09-10,"west market",NA,"supermercado",NA,-18,NA,"cartao_flash"
"28",2022-09-10,"west market",NA,"supermercado",NA,-11.5,NA,"cartao_flash"
"29",2022-09-10,"pao de acucar",NA,"supermercado",NA,-125.16,NA,"cartao_flash"
"30",2022-09-11,"pao de acucar",NA,"supermercado",NA,-176.31,NA,"cartao_flash"
"31",2022-09-18,"feira",NA,"feira",NA,-57,NA,"cartao_flash"
"32",2022-09-18,"pao de acucar",NA,"supermercado",NA,-137.09,NA,"cartao_flash"
"33",2022-09-21,"choripan",NA,"alimentos",NA,-45,NA,"cartao_flash"
"34",2022-10-01,"beneficio flash",NA,"entrada",NA,700,NA,"cartao_flash"
"35",2022-10-04,"Pao de acucar",NA,"supermercado",NA,-101.98,NA,"cartao_flash"
"36",2022-10-05,"Flor da chapada",NA,"restaurante",NA,-31.4,NA,"cartao_flash"
"37",2022-10-07,"West Market",NA,"supermercado",NA,-34.47,NA,"cartao_flash"
"38",2022-10-07,"Meio dia barriga vazia",NA,"restaurante",NA,-59.32,NA,"cartao_flash"
"39",2022-10-10,"Meio dia barriga vazia",NA,"restaurante",NA,-63.28,NA,"cartao_flash"
"40",2022-10-10,"West Market",NA,"supermercado",NA,-10.99,NA,"cartao_flash"
"41",2022-10-11,"West Market",NA,"supermercado",NA,-35.48,NA,"cartao_flash"
"42",2022-10-11,"Bona",NA,"restaurante",NA,-72.32,NA,"cartao_flash"
"43",2022-10-13,"West Market",NA,"supermercado",NA,-25.49,NA,"cartao_flash"
"44",2022-10-15,"West Market",NA,"supermercado",NA,-61.36,NA,"cartao_flash"
"45",2022-10-16,"papo pinga e petisco",NA,"restaurante",NA,-53.7,NA,"cartao_flash"
"46",2022-10-16,"sia pão",NA,"padaria",NA,-20.02,NA,"cartao_flash"
"47",2022-10-17,"West Market",NA,"supermercado",NA,-14,NA,"cartao_flash"
"48",2022-10-21,"supermercado dia",NA,"supermercado",NA,-21.46,NA,"cartao_flash"
"49",2022-10-22,"West Market",NA,"supermercado",NA,-21.46,NA,"cartao_flash"
